,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-per-year
31890,0.54159337299448,Private,128645,0.0,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
95,-0.7061423355725757,Local-gov,115585,0.0,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K
11719,-0.4859536811195659,Private,194981,0.0,9,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,36,United-States,<=50K
1991,-0.9263309900255855,Private,236564,0.0,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
701,-0.5593498992705692,Private,243605,0.0,13,Widowed,Sales,Unmarried,White,Female,0,1380,40,Cuba,<=50K
28009,1.7159328634105324,,181063,1.0,6,Widowed,,Not-in-family,White,Female,0,0,30,United-States,<=50K
22236,-0.04557637221354625,Self-emp-not-inc,30916,0.0,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
14043,-1.2199158626295987,Private,412316,0.0,9,Never-married,Sales,Other-relative,Black,Male,0,0,40,,<=50K
22576,-0.4125574629685626,Private,275369,0.0,4,Separated,Handlers-cleaners,Not-in-family,Black,Male,0,0,35,Haiti,<=50K
31201,-1.293312080780602,,176356,0.0,10,Never-married,,Own-child,White,Female,0,0,10,Germany,<=50K
17118,-0.7795385537235789,Private,185127,0.0,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
7388,1.4957442089575226,Private,193895,0.0,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
14204,1.2755555545045127,Self-emp-inc,165881,0.0,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
21617,-1.293312080780602,Private,182614,0.0,10,Never-married,Sales,Other-relative,White,Female,0,0,40,Poland,<=50K
27460,-0.7795385537235789,Private,163772,0.0,9,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,40,United-States,<=50K
1482,1.055366900051503,Self-emp-inc,263925,0.0,9,Married-civ-spouse,Sales,Husband,White,Male,99999,0,40,United-States,>50K
11859,-0.6327461174215725,Private,257874,0.0,13,Never-married,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K
12495,0.4681971548434767,Private,151627,0.0,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,<=50K
29135,-1.0731234263275922,Private,142528,0.0,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
32074,-0.6327461174215725,Private,318749,0.0,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,35,Germany,<=50K
18774,-0.6327461174215725,State-gov,158291,0.0,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
23748,0.3214047185414701,Private,183891,0.0,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
24236,-0.11897259036454952,Private,49626,0.0,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,43,United-States,<=50K
14420,0.9085744637494964,State-gov,454063,0.0,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,40,United-States,>50K
12618,0.3948009366924734,Private,162184,0.0,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
28273,-0.7795385537235789,Federal-gov,183445,0.0,9,Never-married,Exec-managerial,Unmarried,White,Female,0,0,70,Puerto-Rico,<=50K
4251,0.3214047185414701,Private,243476,0.0,9,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
9103,2.0095177360145455,Self-emp-not-inc,174788,0.0,10,Never-married,Sales,Not-in-family,White,Female,0,0,20,United-States,<=50K
26852,0.027819845937457028,Private,393480,0.0,9,Separated,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
26826,0.24800850039046685,Private,34278,0.0,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
23456,-1.0731234263275922,Private,103277,0.0,9,Never-married,Adm-clerical,Not-in-family,White,Female,2597,0,40,United-States,<=50K
16642,-1.5135007352336118,,195981,0.0,9,Widowed,,Own-child,White,Male,0,0,40,United-States,<=50K
21904,0.24800850039046685,Private,280410,0.0,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,Haiti,<=50K
1412,0.027819845937457028,Private,24342,0.0,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
28488,-0.6327461174215725,Private,167832,0.0,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
15131,1.055366900051503,Federal-gov,167410,0.0,13,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
7934,0.3214047185414701,Private,972354,0.0,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,48,United-States,<=50K
27956,-0.11897259036454952,Private,324947,0.0,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
16130,-1.3667082989316053,,369678,0.0,9,Never-married,,Not-in-family,Other,Male,0,0,43,United-States,<=50K
9754,0.3948009366924734,Self-emp-not-inc,567788,0.0,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Mexico,<=50K
12161,-1.3667082989316053,,40060,0.0,10,Never-married,,Own-child,White,Male,0,0,56,United-States,<=50K
21762,2.082913954165549,,233182,0.0,9,Divorced,,Not-in-family,White,Female,0,0,7,United-States,<=50K
7540,0.8351782455984931,Self-emp-not-inc,170562,0.0,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,20,United-States,<=50K
6912,-0.5593498992705692,Private,236861,0.0,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
4362,-1.3667082989316053,Private,246250,0.0,10,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
25477,0.3214047185414701,Private,403276,0.0,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
9423,-1.0731234263275922,Private,285432,0.0,9,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
28902,0.24800850039046685,Private,29320,0.0,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
