,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-per-year
31890,46,Private,128645,0.0,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
95,29,Local-gov,115585,0.0,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K
11719,32,Private,194981,0.0,9,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,36,United-States,<=50K
1991,26,Private,236564,0.0,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
701,31,Private,243605,0.0,13,Widowed,Sales,Unmarried,White,Female,0,1380,40,Cuba,<=50K
28009,62,,181063,1.0,6,Widowed,,Not-in-family,White,Female,0,0,30,United-States,<=50K
22236,38,Self-emp-not-inc,30916,0.0,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
14043,22,Private,412316,0.0,9,Never-married,Sales,Other-relative,Black,Male,0,0,40,,<=50K
22576,33,Private,275369,0.0,4,Separated,Handlers-cleaners,Not-in-family,Black,Male,0,0,35,Haiti,<=50K
31201,21,,176356,0.0,10,Never-married,,Own-child,White,Female,0,0,10,Germany,<=50K
17118,28,Private,185127,0.0,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
7388,59,Private,193895,0.0,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
14204,56,Self-emp-inc,165881,0.0,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
21617,21,Private,182614,0.0,10,Never-married,Sales,Other-relative,White,Female,0,0,40,Poland,<=50K
27460,28,Private,163772,0.0,9,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,40,United-States,<=50K
1482,53,Self-emp-inc,263925,0.0,9,Married-civ-spouse,Sales,Husband,White,Male,99999,0,40,United-States,>50K
11859,30,Private,257874,0.0,13,Never-married,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K
