,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-per-year
31890,0.5727292794361896,0.0,128645,0.0,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
95,-0.7224883060620452,0.0,115585,0.0,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K
11719,-0.49392049685647427,0.0,194981,0.0,9,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,36,United-States,<=50K
1991,-0.9510561152676159,0.0,236564,0.0,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
701,-0.5701097665916646,0.0,243605,0.0,13,Widowed,Sales,Unmarried,White,Female,0,1380,40,Cuba,<=50K
22236,-0.03678487844533262,0.0,30916,0.0,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
22576,-0.417731227121284,0.0,275369,0.0,4,Separated,Handlers-cleaners,Not-in-family,Black,Male,0,0,35,Haiti,<=50K
17118,-0.7986775757972354,0.0,185127,0.0,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
7388,1.5631897859936632,0.0,193895,0.0,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
14204,1.3346219767880925,0.0,165881,0.0,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
21617,-1.3320024639435672,0.0,182614,0.0,10,Never-married,Sales,Other-relative,White,Female,0,0,40,Poland,<=50K
27460,-0.7986775757972354,0.0,163772,0.0,9,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,40,United-States,<=50K
1482,1.1060541675825215,0.0,263925,0.0,9,Married-civ-spouse,Sales,Husband,White,Male,99999,0,40,United-States,>50K
11859,-0.6462990363268548,0.0,257874,0.0,13,Never-married,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K
12495,0.4965400097009993,0.0,151627,0.0,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,<=50K
29135,-1.1034346547379965,0.0,142528,0.0,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
32074,-0.6462990363268548,0.0,318749,0.0,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,35,Germany,<=50K
18774,-0.6462990363268548,0.0,158291,0.0,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
23748,0.34416147023061877,0.0,183891,0.0,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
24236,-0.1129741481805229,0.0,49626,0.0,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,43,United-States,<=50K
14420,0.953675628112141,0.0,454063,0.0,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,40,United-States,>50K
12618,0.4203507399658091,0.0,162184,0.0,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
28273,-0.7986775757972354,1.0,183445,0.0,9,Never-married,Exec-managerial,Unmarried,White,Female,0,0,70,Puerto-Rico,<=50K
4251,0.34416147023061877,0.0,243476,0.0,9,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
9103,2.0965146741399954,0.0,174788,0.0,10,Never-married,Sales,Not-in-family,White,Female,0,0,20,United-States,<=50K
26852,0.03940439128985766,0.0,393480,0.0,9,Separated,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
26826,0.26797220049542847,0.0,34278,0.0,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
23456,-1.1034346547379965,0.0,103277,0.0,9,Never-married,Adm-clerical,Not-in-family,White,Female,2597,0,40,United-States,<=50K
21904,0.26797220049542847,0.0,280410,0.0,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,Haiti,<=50K
1412,0.03940439128985766,0.0,24342,0.0,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
28488,-0.6462990363268548,0.0,167832,0.0,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
15131,1.1060541675825215,1.0,167410,0.0,13,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
